kecamatan,periode,ndvi_unmasked_mean,ndvi_cropland_mean,cropland_pct
Rembang,2017Q2,0.5287945058196962,0.5373744053729608,50.751505873221056
Pancur,2017Q2,0.7403529802069642,0.6064968669034055,15.481337496922354
Lasem,2017Q2,0.6371367482421402,0.5572621412842161,16.459052860811457
Kragan,2017Q2,0.6961720209820598,0.6189277300248627,29.170556633757567
Sluke,2017Q2,0.7243340409561942,0.6161802822683433,9.12217467688561
Pamotan,2017Q2,0.6800688743783776,0.6325573259443392,36.56497268033711
Sulang,2017Q2,0.6412287217709755,0.5692309043179895,40.142089477030915
Sarang,2017Q2,0.6586701218377833,0.6091049178554148,49.28458162386916
Sedan,2017Q2,0.7282635789605911,0.6375500813848733,26.368444325462082
Kaliori,2017Q2,0.4347153230317595,0.4778767440175881,57.65315120181934
Gunem,2017Q2,0.7025528495457692,0.6136767067455376,24.57658219889265
Sale,2017Q2,0.7415160019295807,0.5883715990015121,15.059284300707068
Sumber,2017Q2,0.5906601376116274,0.5023986809246014,49.12904702586943
Bulu,2017Q2,0.7093180740354816,0.528673525842186,17.451105549217562
Rembang,2017Q3,0.39950140654291905,0.386931146399052,50.751505873221056
Pancur,2017Q3,0.6003248699230594,0.4469178114031208,15.481337496922354
Lasem,2017Q3,0.5233407110787395,0.4183567381060479,16.459052860811457
Kragan,2017Q3,0.5506729524123456,0.43008078397493515,29.170556633757567
Sluke,2017Q3,0.5709688176462991,0.3891114899425944,9.12217467688561
Pamotan,2017Q3,0.5136056160484036,0.47167598743463224,36.56497268033711
Sulang,2017Q3,0.5265707697485974,0.4539200770329223,40.142089477030915
Sarang,2017Q3,0.44062705146399717,0.3757900967120715,49.28458162386916
Sedan,2017Q3,0.5554459882305388,0.45421365894777177,26.368444325462082
Kaliori,2017Q3,0.31907645078561475,0.33467350140486785,57.65315120181934
Gunem,2017Q3,0.5332294884604487,0.4564378003167973,24.57658219889265
Sale,2017Q3,0.5542816719947748,0.4847818207546639,15.059284300707068
Sumber,2017Q3,0.4894535470119507,0.43444100420275517,49.12904702586943
Bulu,2017Q3,0.5973814544824121,0.4980935651161695,17.451105549217562
Rembang,2017Q4,,,50.751505873221056
Pancur,2017Q4,,,15.481337496922354
Lasem,2017Q4,,,16.459052860811457
Kragan,2017Q4,,,29.170556633757567
Sluke,2017Q4,,,9.12217467688561
Pamotan,2017Q4,,,36.56497268033711
Sulang,2017Q4,,,40.142089477030915
Sarang,2017Q4,,,49.28458162386916
Sedan,2017Q4,,,26.368444325462082
Kaliori,2017Q4,,,57.65315120181934
Gunem,2017Q4,,,24.57658219889265
Sale,2017Q4,,,15.059284300707068
Sumber,2017Q4,,,49.12904702586943
Bulu,2017Q4,,,17.451105549217562
Rembang,2018Q1,,,50.751505873221056
Pancur,2018Q1,,,15.481337496922354
Lasem,2018Q1,,,16.459052860811457
Kragan,2018Q1,,,29.170556633757567
Sluke,2018Q1,,,9.12217467688561
Pamotan,2018Q1,,,36.56497268033711
Sulang,2018Q1,,,40.142089477030915
Sarang,2018Q1,,,49.28458162386916
Sedan,2018Q1,,,26.368444325462082
Kaliori,2018Q1,,,57.65315120181934
Gunem,2018Q1,,,24.57658219889265
Sale,2018Q1,,,15.059284300707068
Sumber,2018Q1,,,49.12904702586943
Bulu,2018Q1,,,17.451105549217562
Rembang,2018Q2,0.51477072481426,0.5313509330586911,50.751505873221056
Pancur,2018Q2,0.7174962042878675,0.5734731670736773,15.481337496922354
Lasem,2018Q2,0.6306437431818294,0.5476198084609921,16.459052860811457
Kragan,2018Q2,0.6419153351468216,0.5007613776509027,29.170556633757567
Sluke,2018Q2,0.7151566898681697,0.5779282472030405,9.12217467688561
Pamotan,2018Q2,0.6522525402563693,0.5876892891756574,36.56497268033711
Sulang,2018Q2,0.6325466269204074,0.5667291336292705,40.142089477030915
Sarang,2018Q2,0.6082888062899781,0.5352514141687783,49.28458162386916
Sedan,2018Q2,0.67891527146381,0.5450270833746432,26.368444325462082
Kaliori,2018Q2,0.5272616145106522,0.6406980272730037,57.65315120181934
Gunem,2018Q2,0.6909931704518469,0.6021890397950552,24.57658219889265
Sale,2018Q2,0.7142263747423899,0.5422382744271509,15.059284300707068
Sumber,2018Q2,0.6501666468160461,0.6206119872801049,49.12904702586943
Bulu,2018Q2,0.6838367627266732,0.48317568631279395,17.451105549217562
Rembang,2018Q3,0.2802141135423453,0.25957072878868975,50.751505873221056
Pancur,2018Q3,0.524638487325196,0.3810283935688101,15.481337496922354
Lasem,2018Q3,0.43455411153477425,0.32253070410762313,16.459052860811457
Kragan,2018Q3,0.49692668986846694,0.38835269920140514,29.170556633757567
Sluke,2018Q3,0.5051413787501673,0.3487054989795868,9.12217467688561
Pamotan,2018Q3,0.4494386210919563,0.40897423392036913,36.56497268033711
Sulang,2018Q3,0.425396235579404,0.3716553395256984,40.142089477030915
Sarang,2018Q3,0.4372720906944899,0.3662870687935685,49.28458162386916
Sedan,2018Q3,0.5532625901444683,0.46473740651496864,26.368444325462082
Kaliori,2018Q3,0.25540585402629284,0.26252159520563184,57.65315120181934
Gunem,2018Q3,0.48379194913396406,0.3985376833698613,24.57658219889265
Sale,2018Q3,0.5548267176250877,0.5219612900693972,15.059284300707068
Sumber,2018Q3,0.4091994526329075,0.355688926825541,49.12904702586943
Bulu,2018Q3,0.5314687216945664,0.41397897597434424,17.451105549217562
Rembang,2018Q4,0.231749863937855,0.19374890192898278,50.751505873221056
Pancur,2018Q4,0.39876900311646896,0.2496360508135982,15.481337496922354
Lasem,2018Q4,0.35111999324902055,0.2173444121014284,16.459052860811457
Kragan,2018Q4,0.3905393326987716,0.25681043018657407,29.170556633757567
Sluke,2018Q4,0.3926194224010162,0.2828019261112213,9.12217467688561
Pamotan,2018Q4,0.30280167637254196,0.2626101866989061,36.56497268033711
