kecamatan,periode,tahun,triwulan,n_s2_scenes,n_sar_scenes,ndwi_mean,ndwi_water_fraction,salt_bright_fraction,sar_vv_median
Pancur,2024Q1,2024,1,1,17,-0.563,0.0,1,-7.5624
Lasem,2024Q1,2024,1,1,17,-0.4783,0.0413,1,-8.1228
Kragan,2024Q1,2024,1,1,17,-0.4197,0.0027,1,-9.1253
Sluke,2024Q1,2024,1,1,17,-0.5573,0.0185,1,-7.8738
Pamotan,2024Q1,2024,1,1,17,-0.5165,0.0,1,-8.3125
Sulang,2024Q1,2024,1,1,17,-0.6039,0.0022,1,-8.1877
Sarang,2024Q1,2024,1,1,17,-0.3415,0.0015,1,-9.8757
Sedan,2024Q1,2024,1,1,17,-0.464,0.0,1,-8.3747
Kaliori,2024Q1,2024,1,1,17,-0.3938,0.0812,1,-9.8746
Gunem,2024Q1,2024,1,1,17,-0.5176,0.0002,1,-8.1257
Sale,2024Q1,2024,1,1,17,-0.5389,0.0,1,-8.1243
Sumber,2024Q1,2024,1,1,17,-0.5653,0.002,1,-8.8746
Bulu,2024Q1,2024,1,1,17,-0.6262,0.0001,1,-7.8124
Rembang,2024Q2,2024,2,6,14,-0.4366,0.0109,1,-10.1264
Pancur,2024Q2,2024,2,6,14,-0.6067,0.0,1,-8.3116
Lasem,2024Q2,2024,2,6,14,-0.507,0.0214,1,-8.623
Kragan,2024Q2,2024,2,6,14,-0.5742,0.0051,1,-9.6246
Sluke,2024Q2,2024,2,6,14,-0.5762,0.021,1,-8.6248
Pamotan,2024Q2,2024,2,6,14,-0.5592,0.0,1,-9.3762
Sulang,2024Q2,2024,2,6,14,-0.5358,0.0,1,-9.3756
Sarang,2024Q2,2024,2,6,14,-0.5332,0.0035,1,-10.1256
Sedan,2024Q2,2024,2,6,14,-0.5977,0.0,1,-8.8746
Kaliori,2024Q2,2024,2,6,14,-0.3797,0.0261,1,-10.8748
Gunem,2024Q2,2024,2,6,14,-0.5975,0.0001,1,-8.8753
Sale,2024Q2,2024,2,6,14,-0.6243,0.0,1,-8.624
Sumber,2024Q2,2024,2,6,14,-0.5173,0.0003,1,-9.8759
Bulu,2024Q2,2024,2,6,14,-0.5905,0.0,1,-8.6248
Rembang,2024Q3,2024,3,15,19,-0.3666,0.0062,1,-10.6263
Pancur,2024Q3,2024,3,15,19,-0.5144,0.0,1,-9.0629
Lasem,2024Q3,2024,3,15,19,-0.4444,0.0157,1,-9.3743
Kragan,2024Q3,2024,3,15,19,-0.466,0.0043,1,-10.1255
Sluke,2024Q3,2024,3,15,19,-0.5008,0.0207,1,-9.3751
Pamotan,2024Q3,2024,3,15,19,-0.4382,0.0,1,-9.9379
Sulang,2024Q3,2024,3,15,19,-0.4342,0.0015,1,-9.9375
Sarang,2024Q3,2024,3,15,19,-0.4095,0.0058,1,-11.1252
Sedan,2024Q3,2024,3,15,19,-0.476,0.0,1,-9.6254
Kaliori,2024Q3,2024,3,15,19,-0.2948,0.0209,1,-11.3744
Gunem,2024Q3,2024,3,15,19,-0.4506,0.0005,1,-9.3753
Sale,2024Q3,2024,3,15,19,-0.4764,0.0,1,-9.3735
Sumber,2024Q3,2024,3,15,19,-0.4319,0.0012,1,-10.3749
Bulu,2024Q3,2024,3,15,19,-0.4719,0.0,1,-9.6876
Rembang,2024Q4,2024,4,3,14,-0.2909,0.0033,1,-9.876
Pancur,2024Q4,2024,4,3,14,-0.4374,0.0,1,-8.1246
Lasem,2024Q4,2024,4,3,14,-0.3109,0.0102,1,-8.8747
Kragan,2024Q4,2024,4,3,14,-0.3534,0.0016,1,-9.6248
Sluke,2024Q4,2024,4,3,14,-0.2884,0.0152,1,-8.8748
Pamotan,2024Q4,2024,4,3,14,-0.3533,0.0,1,-8.876
Sulang,2024Q4,2024,4,3,14,-0.3975,0.0003,1,-8.8754
Sarang,2024Q4,2024,4,3,14,-0.32,0.0043,1,-10.8751
Sedan,2024Q4,2024,4,3,14,-0.3889,0.0,1,-9.1246
Kaliori,2024Q4,2024,4,3,14,-0.24,0.0099,1,-10.6255
Gunem,2024Q4,2024,4,3,14,-0.4503,0.0003,1,-8.6243
Sale,2024Q4,2024,4,3,14,-0.4383,0.0,1,-8.875
Sumber,2024Q4,2024,4,3,14,-0.4152,0.0005,1,-9.1251
Bulu,2024Q4,2024,4,3,14,-0.4906,0.0,1,-8.0623
Rembang,2025Q1,2025,1,1,13,-0.4374,0.0273,1.0,-9.1245
Pancur,2025Q1,2025,1,1,13,-0.3285,0.0051,0.999,-7.5624
Lasem,2025Q1,2025,1,1,13,-0.4985,0.056,0.9959,-7.8737
Kragan,2025Q1,2025,1,1,13,-0.2944,0.0047,1.0,-9.1256
Sluke,2025Q1,2025,1,1,13,-0.5752,0.0186,0.9993,-8.1242
Pamotan,2025Q1,2025,1,1,13,-0.4866,0.0,1.0,-8.1254
Sulang,2025Q1,2025,1,1,13,-0.2842,0.002,1.0,-8.1242
Sarang,2025Q1,2025,1,1,13,-0.5543,0.0056,1.0,-9.3747
Sedan,2025Q1,2025,1,1,13,-0.2039,0.0001,1.0,-8.3748
Kaliori,2025Q1,2025,1,1,13,-0.2984,0.1074,0.9999,-10.3764
Gunem,2025Q1,2025,1,1,13,-0.4708,0.0014,0.9997,-8.1255
Sale,2025Q1,2025,1,1,13,-0.4142,0.0,1.0,-7.8742
Sumber,2025Q1,2025,1,1,13,-0.4148,0.0024,0.9998,-8.8746
Bulu,2025Q1,2025,1,1,13,-0.4042,0.0001,1.0,-7.6255
Rembang,2025Q2,2025,2,6,26,-0.4647,0.0188,1,-9.3762
Pancur,2025Q2,2025,2,6,26,-0.6292,0.0,1,-8.0625
Lasem,2025Q2,2025,2,6,26,-0.5081,0.0259,1,-8.3728
Kragan,2025Q2,2025,2,6,26,-0.5665,0.0061,1,-9.3749
Sluke,2025Q2,2025,2,6,26,-0.6076,0.0212,1,-8.6233
Pamotan,2025Q2,2025,2,6,26,-0.5776,0.0,1,-8.8766
Sulang,2025Q2,2025,2,6,26,-0.5214,0.0025,1,-8.6253
Sarang,2025Q2,2025,2,6,26,-0.5201,0.0077,1,-9.3758
Sedan,2025Q2,2025,2,6,26,-0.5576,0.0,1,-8.6254
Kaliori,2025Q2,2025,2,6,26,-0.3695,0.0561,1,-9.6237
Gunem,2025Q2,2025,2,6,26,-0.5604,0.0004,1,-8.626
Sale,2025Q2,2025,2,6,26,-0.6164,0.0,1,-8.6238
Sumber,2025Q2,2025,2,6,26,-0.5103,0.002,1,-8.876
Bulu,2025Q2,2025,2,6,26,-0.5892,0.0,1,-8.1255
Rembang,2025Q3,2025,3,9,26,-0.4196,0.0076,1,-10.1265
Pancur,2025Q3,2025,3,9,26,-0.5773,0.0,1,-8.6873
Lasem,2025Q3,2025,3,9,26,-0.5046,0.0174,1,-8.8738
Kragan,2025Q3,2025,3,9,26,-0.5612,0.0056,1,-9.3752
Sluke,2025Q3,2025,3,9,26,-0.5747,0.0207,1,-8.8746
Pamotan,2025Q3,2025,3,9,26,-0.5201,0.0,1,-9.6261
Sulang,2025Q3,2025,3,9,26,-0.5303,0.002,1,-9.3763
Sarang,2025Q3,2025,3,9,26,-0.5307,0.0057,1,-10.1265
Sedan,2025Q3,2025,3,9,26,-0.5713,0.0,1,-9.3753
Kaliori,2025Q3,2025,3,9,26,-0.3592,0.0168,1,-10.8743
Gunem,2025Q3,2025,3,9,26,-0.5483,0.0002,1,-9.1253
Sale,2025Q3,2025,3,9,26,-0.5603,0.0,1,-9.1229
Sumber,2025Q3,2025,3,9,26,-0.5088,0.0015,1,-9.8757
Bulu,2025Q3,2025,3,9,26,-0.5832,0.0,1,-8.8752
Rembang,2025Q4,2025,4,3,34,-0.3687,0.0042,1,-9.6279
Pancur,2025Q4,2025,4,3,34,-0.5446,0.0,1,-8.062
Lasem,2025Q4,2025,4,3,34,-0.511,0.0148,1,-8.6229
Kragan,2025Q4,2025,4,3,34,-0.5632,0.0039,1,-9.1255
Sluke,2025Q4,2025,4,3,34,-0.5788,0.0173,1,-8.3739
Pamotan,2025Q4,2025,4,3,34,-0.4412,0.0,1,-9.063
Sulang,2025Q4,2025,4,3,34,-0.4673,0.0018,1,-8.9383
Sarang,2025Q4,2025,4,3,34,-0.4892,0.0035,1,-9.8769
Sedan,2025Q4,2025,4,3,34,-0.5002,0.0,1,-8.6258
Kaliori,2025Q4,2025,4,3,34,-0.3009,0.0131,1,-10.1249
Gunem,2025Q4,2025,4,3,34,-0.4912,0.0006,1,-8.8759
Sale,2025Q4,2025,4,3,34,-0.4512,0.0,1,-8.3724
Sumber,2025Q4,2025,4,3,34,-0.4274,0.0016,1,-9.3766
Bulu,2025Q4,2025,4,3,34,-0.5476,0.0,1,-8.5628
Rembang,2026Q1,2026,1,4,33,-0.3817,0.0182,1,-9.1265
Pancur,2026Q1,2026,1,4,33,-0.5053,0.0,1,-7.8123
Lasem,2026Q1,2026,1,4,33,-0.4609,0.0356,1,-8.3742
Kragan,2026Q1,2026,1,4,33,-0.4102,0.0041,1,-8.8749
Sluke,2026Q1,2026,1,4,33,-0.6008,0.0198,1,-8.1244
Pamotan,2026Q1,2026,1,4,33,-0.4789,0.0,1,-8.6881
Sulang,2026Q1,2026,1,4,33,-0.4371,0.0029,1,-8.6251
Sarang,2026Q1,2026,1,4,33,-0.4681,0.0065,1,-9.3744
Sedan,2026Q1,2026,1,4,33,-0.4786,0.0,1,-8.3753
Kaliori,2026Q1,2026,1,4,33,-0.3112,0.0825,1,-10.1239
Gunem,2026Q1,2026,1,4,33,-0.5212,0.0011,1,-8.3766
Sale,2026Q1,2026,1,4,33,-0.5743,0.0,1,-8.1234
Sumber,2026Q1,2026,1,4,33,-0.4272,0.002,1,-8.8758
Bulu,2026Q1,2026,1,4,33,-0.5243,0.0,1,-8.0625
Rembang,2026Q2,2026,2,8,32,-0.4926,0.0109,1,-9.627
Pancur,2026Q2,2026,2,8,32,-0.656,0.0,1,-8.1873
Lasem,2026Q2,2026,2,8,32,-0.5661,0.0221,1,-8.3737
Kragan,2026Q2,2026,2,8,32,-0.5738,0.0059,1,-9.3753
Sluke,2026Q2,2026,2,8,32,-0.6052,0.021,1,-8.6244
Pamotan,2026Q2,2026,2,8,32,-0.5991,0.0,1,-9.3756
Sulang,2026Q2,2026,2,8,32,-0.5533,0.0015,1,-8.8762
Sarang,2026Q2,2026,2,8,32,-0.5507,0.0066,1,-9.6267
Sedan,2026Q2,2026,2,8,32,-0.6137,0.0,1,-8.8749
Kaliori,2026Q2,2026,2,8,32,-0.3902,0.0301,1,-9.874
Gunem,2026Q2,2026,2,8,32,-0.6071,0.0012,1,-8.8762
Sale,2026Q2,2026,2,8,32,-0.6206,0.0,1,-8.3735
Sumber,2026Q2,2026,2,8,32,-0.5113,0.0008,1,-9.1262
Bulu,2026Q2,2026,2,8,32,-0.618,0.0,1,-8.3755
