kecamatan,periode,tahun,triwulan,n_s2_scenes,bsi_mean,bsi_high_fraction,ndvi_mean,ndvi_low_fraction,limestone_ratio_mean,ndvi_stddev
Lasem,2025Q4,2025,4,3,-0.0594,0.2046,0.4995,0.0772,0.8834,0.1002
Kragan,2025Q4,2025,4,3,-0.0589,0.228,0.5926,0.018,0.8649,0.0368
Sluke,2025Q4,2025,4,3,-0.0827,0.1564,0.6025,0.0396,0.8446,0.0611
Pamotan,2025Q4,2025,4,3,0.0121,0.3668,0.3935,0.0089,0.9875,0.1368
Sulang,2025Q4,2025,4,3,-0.0173,0.251,0.4013,0.0149,0.9343,0.1713
Sarang,2025Q4,2025,4,3,0.0364,0.4629,0.4663,0.0167,0.9961,0.0587
Sedan,2025Q4,2025,4,3,-0.0402,0.2244,0.4719,0.0081,0.9172,0.1368
Kaliori,2025Q4,2025,4,3,0.0496,0.5208,0.2398,0.1978,1.0556,0.0921
Gunem,2025Q4,2025,4,3,0.0342,0.4921,0.4501,0.0254,0.9893,0.0817
Sale,2025Q4,2025,4,3,-0.0048,0.3004,0.4183,0.0102,0.9441,0.1418
Sumber,2025Q4,2025,4,3,0.0218,0.3721,0.3435,0.0186,1.005,0.1552
Bulu,2025Q4,2025,4,3,-0.0471,0.2103,0.4692,0.0034,0.8918,0.185
Rembang,2026Q1,2026,1,4,-0.0995,0.1138,0.3947,0.0669,0.8599,0.176
Pancur,2026Q1,2026,1,4,-0.1868,0.026,0.5302,0.0066,0.7485,0.2315
Lasem,2026Q1,2026,1,4,-0.152,0.0731,0.5071,0.0715,0.7658,0.1377
Kragan,2026Q1,2026,1,4,-0.1599,0.0435,0.4323,0.0346,0.8144,0.2774
Sluke,2026Q1,2026,1,4,-0.1843,0.082,0.6259,0.0357,0.7079,0.1444
Pamotan,2026Q1,2026,1,4,-0.1292,0.0652,0.4905,0.0033,0.8182,0.2
Sulang,2026Q1,2026,1,4,-0.1305,0.0358,0.45,0.0094,0.8117,0.2255
Sarang,2026Q1,2026,1,4,-0.1315,0.0573,0.4624,0.0228,0.8145,0.2293
Sedan,2026Q1,2026,1,4,-0.1721,0.0268,0.4949,0.0162,0.773,0.2564
Kaliori,2026Q1,2026,1,4,-0.1008,0.0713,0.2975,0.1512,0.8746,0.175
Gunem,2026Q1,2026,1,4,-0.0995,0.1571,0.5159,0.0182,0.8242,0.1772
Sale,2026Q1,2026,1,4,-0.1666,0.0641,0.5705,0.0044,0.7466,0.2294
Sumber,2026Q1,2026,1,4,-0.1057,0.0688,0.4304,0.0073,0.8611,0.1752
Bulu,2026Q1,2026,1,4,-0.1344,0.0839,0.5321,0.0019,0.7812,0.2059
Rembang,2026Q2,2026,2,8,-0.0492,0.2136,0.505,0.0441,0.8602,0.1342
Pancur,2026Q2,2026,2,8,-0.1753,0.0679,0.7025,0.0013,0.6846,0.125
Lasem,2026Q2,2026,2,8,-0.1491,0.1064,0.6068,0.0527,0.7271,0.1285
Kragan,2026Q2,2026,2,8,-0.1425,0.0699,0.5777,0.0165,0.7674,0.1895
Sluke,2026Q2,2026,2,8,-0.1676,0.066,0.6191,0.0367,0.7227,0.1843
Pamotan,2026Q2,2026,2,8,-0.113,0.1137,0.6449,0.0022,0.7688,0.1098
Sulang,2026Q2,2026,2,8,-0.0841,0.1582,0.562,0.0046,0.8086,0.1653
Sarang,2026Q2,2026,2,8,-0.1179,0.0686,0.5631,0.0135,0.7918,0.1863
Sedan,2026Q2,2026,2,8,-0.1485,0.0599,0.6281,0.0044,0.7417,0.1765
Kaliori,2026Q2,2026,2,8,-0.0818,0.1013,0.4135,0.1354,0.8543,0.1639
Gunem,2026Q2,2026,2,8,-0.1212,0.1046,0.6234,0.0151,0.7801,0.1664
Sale,2026Q2,2026,2,8,-0.1446,0.0469,0.6483,0.0031,0.7278,0.1725
Sumber,2026Q2,2026,2,8,-0.0762,0.121,0.5149,0.0027,0.8563,0.1825
Bulu,2026Q2,2026,2,8,-0.1255,0.0954,0.6435,0.0002,0.7488,0.1543
