kecamatan,periode,tahun,triwulan,n_scenes,ndbi_mean,ndbi_fraction,urban_index_mean
Sale,2025Q1,2025,1,1,-0.2187,0.0766,-0.7094
Sumber,2025Q1,2025,1,1,-0.198,0.0934,-0.6856
Bulu,2025Q1,2025,1,1,-0.2182,0.0697,-0.6968
Rembang,2025Q2,2025,2,6,-0.096,0.2313,-0.6168
Pancur,2025Q2,2025,2,6,-0.2119,0.0823,-0.934
Lasem,2025Q2,2025,2,6,-0.1958,0.1106,-0.7906
Kragan,2025Q2,2025,2,6,-0.1964,0.0933,-0.8445
Sluke,2025Q2,2025,2,6,-0.2335,0.0777,-0.9322
Pamotan,2025Q2,2025,2,6,-0.1469,0.1381,-0.7978
Sulang,2025Q2,2025,2,6,-0.1177,0.1798,-0.7013
Sarang,2025Q2,2025,2,6,-0.1747,0.0785,-0.7699
Sedan,2025Q2,2025,2,6,-0.1923,0.0634,-0.8354
Kaliori,2025Q2,2025,2,6,-0.1444,0.1582,-0.5591
Gunem,2025Q2,2025,2,6,-0.1426,0.1324,-0.7458
Sale,2025Q2,2025,2,6,-0.1731,0.0682,-0.871
Sumber,2025Q2,2025,2,6,-0.0931,0.2121,-0.6417
Bulu,2025Q2,2025,2,6,-0.1569,0.1184,-0.8225
Rembang,2025Q3,2025,3,9,-0.0017,0.5051,-0.4135
Pancur,2025Q3,2025,3,9,-0.1344,0.1432,-0.7596
Lasem,2025Q3,2025,3,9,-0.126,0.1922,-0.6838
Kragan,2025Q3,2025,3,9,-0.1531,0.1256,-0.7814
Sluke,2025Q3,2025,3,9,-0.1893,0.0831,-0.8408
Pamotan,2025Q3,2025,3,9,-0.0723,0.237,-0.6098
Sulang,2025Q3,2025,3,9,-0.065,0.2496,-0.627
Sarang,2025Q3,2025,3,9,-0.0704,0.2215,-0.6312
Sedan,2025Q3,2025,3,9,-0.1106,0.1459,-0.7233
Kaliori,2025Q3,2025,3,9,-0.0271,0.4684,-0.3834
Gunem,2025Q3,2025,3,9,-0.0599,0.3349,-0.6241
Sale,2025Q3,2025,3,9,-0.0493,0.2976,-0.6404
Sumber,2025Q3,2025,3,9,-0.0267,0.3837,-0.5431
Bulu,2025Q3,2025,3,9,-0.083,0.2173,-0.7034
Rembang,2025Q4,2025,4,3,0.0725,0.7693,-0.2641
Pancur,2025Q4,2025,4,3,-0.0663,0.3618,-0.6377
Lasem,2025Q4,2025,4,3,-0.0962,0.2628,-0.6397
Kragan,2025Q4,2025,4,3,-0.0979,0.245,-0.6968
Sluke,2025Q4,2025,4,3,-0.1217,0.1871,-0.7442
Pamotan,2025Q4,2025,4,3,0.0007,0.5004,-0.4396
Sulang,2025Q4,2025,4,3,-0.0255,0.4047,-0.4988
Sarang,2025Q4,2025,4,3,0.01,0.533,-0.4731
Sedan,2025Q4,2025,4,3,-0.065,0.3121,-0.5842
Kaliori,2025Q4,2025,4,3,0.0287,0.641,-0.245
Gunem,2025Q4,2025,4,3,0.0172,0.5501,-0.4626
Sale,2025Q4,2025,4,3,-0.0086,0.4736,-0.4765
Sumber,2025Q4,2025,4,3,0.029,0.6165,-0.3815
Bulu,2025Q4,2025,4,3,-0.0566,0.3334,-0.6222
Rembang,2026Q1,2026,1,4,-0.1447,0.1614,-0.5874
Pancur,2026Q1,2026,1,4,-0.2297,0.053,-0.8223
Lasem,2026Q1,2026,1,4,-0.2016,0.1055,-0.7439
Kragan,2026Q1,2026,1,4,-0.2052,0.071,-0.6946
Sluke,2026Q1,2026,1,4,-0.2219,0.1052,-0.9065
Pamotan,2026Q1,2026,1,4,-0.1714,0.0957,-0.7188
Sulang,2026Q1,2026,1,4,-0.1715,0.0649,-0.6794
Sarang,2026Q1,2026,1,4,-0.1757,0.0897,-0.7017
Sedan,2026Q1,2026,1,4,-0.2183,0.05,-0.7787
Kaliori,2026Q1,2026,1,4,-0.1986,0.1051,-0.5483
Gunem,2026Q1,2026,1,4,-0.1334,0.2049,-0.6982
Sale,2026Q1,2026,1,4,-0.2118,0.0873,-0.8628
Sumber,2026Q1,2026,1,4,-0.1591,0.1028,-0.6347
Bulu,2026Q1,2026,1,4,-0.1711,0.123,-0.7658
Rembang,2026Q2,2026,2,8,-0.0846,0.2619,-0.6158
Pancur,2026Q2,2026,2,8,-0.2158,0.0829,-0.9611
Lasem,2026Q2,2026,2,8,-0.1921,0.1324,-0.835
Kragan,2026Q2,2026,2,8,-0.1906,0.0927,-0.8311
Sluke,2026Q2,2026,2,8,-0.207,0.087,-0.8923
Pamotan,2026Q2,2026,2,8,-0.1557,0.1325,-0.8216
Sulang,2026Q2,2026,2,8,-0.1192,0.1931,-0.7246
Sarang,2026Q2,2026,2,8,-0.1628,0.0939,-0.766
Sedan,2026Q2,2026,2,8,-0.188,0.0833,-0.87
Kaliori,2026Q2,2026,2,8,-0.1496,0.1323,-0.5767
Gunem,2026Q2,2026,2,8,-0.1661,0.1204,-0.8203
Sale,2026Q2,2026,2,8,-0.1817,0.0611,-0.8744
Sumber,2026Q2,2026,2,8,-0.1182,0.1633,-0.6442
Bulu,2026Q2,2026,2,8,-0.1633,0.1161,-0.8482
