kecamatan,tahun,ndvi_mean,n_quarter_ndvi,ntl_median,ntl_relative,n_quarter_ntl
Bulu,2010,0.5806363252838553,2,6.0,0.8235294117647058,4
Bulu,2011,0.570596730735076,3,5.0,0.7692307692307693,4
Bulu,2012,0.4506808126527167,3,0.0,0.0,1
Bulu,2013,0.6495161660429188,3,,,0
Bulu,2014,0.5575658763534392,4,0.12208351455860021,0.3064421719245477,4
Bulu,2015,0.5160982354846745,3,0.28832246955814805,0.5938107265297258,4
Bulu,2016,0.6304032931445985,4,0.22106906895906717,0.5433505440163631,4
Bulu,2017,0.653349764258947,2,0.43144978393906247,0.7071547834576695,4
Bulu,2018,0.520787502590141,3,0.4572593460040577,0.6283877754405061,4
Bulu,2019,0.5068365274289655,4,0.5004201125844485,0.5690746324537637,4
Bulu,2020,0.5533721879394956,3,0.551548523214712,0.5795482378002819,4
Bulu,2021,0.585778061008776,4,0.6515729410538301,0.6053755652194925,3
Bulu,2022,0.620163050315368,4,0.4935138679422766,0.39573775512435744,3
Bulu,2023,0.4380388746111804,4,0.8092070309510251,0.5492354462630885,3
Bulu,2024,0.5599993717112982,4,0.7681227923737165,0.614164502765796,3
Bulu,2025,0.5369886769147415,4,0.7280460497346203,0.5702617011293909,3
Bulu,2026,0.5863662719111113,2,1.0133161875671963,0.5709670776110713,1
Gunem,2010,0.689361008783995,2,6.0,0.8235294117647058,4
Gunem,2011,0.5653703138765184,3,5.0,0.7692307692307693,4
Gunem,2012,0.35870928657417056,3,0.0,0.0,1
Gunem,2013,0.5823517586848229,3,,,0
Gunem,2014,0.5488024591889806,4,0.1671995328105277,0.4468186225567682,4
Gunem,2015,0.47332606443471353,3,0.3074942859204575,0.6149582330407655,4
Gunem,2016,0.6065479594480738,4,0.23337102099341506,0.5668497123696894,4
Gunem,2017,0.6178911690031089,2,0.6036686238422994,0.9915083089364116,4
Gunem,2018,0.4957861915601005,3,0.6341093074818572,0.8835793617251939,4
Gunem,2019,0.44662041463763164,4,0.7150353664539333,0.8069765838253031,4
Gunem,2020,0.4591691685798008,3,0.7543528058984864,0.788446471814243,4
